Hosp_ID,HospName,Country
H0001,B Care Medical Center,Thailand
H0002,Bangkok Eye Hospital,Thailand
H0003,Bangkok Sleep Center,Thailand
H0004,Bangkok Hospital Medical Center,Thailand
H0005,Bangkok International Dental Center (BIDC),Thailand
H0006,Bangkok International Dental Hospital (BIDH),Thailand
H0007,Bangkok Physiotherapy Center,Thailand
H0008,Bangkok Smile Dental Clinic – Asok,Thailand
H0009,Bangkok Smile Dental Clinic – Ploenchit,Thailand
H0010,Bangkok Smile Dental Clinic - Silom,Thailand
H0011,Bangmod Hospital,Thailand
H0012,Bangpakok 1 Hospital,Thailand
H0013,Bangpakok 8 Hospital,Thailand
H0014,Bangpakok 9 International Hospital,Thailand
H0015,Bangphai General Hospital,Thailand
H0016,Bangpo Hospital,Thailand
H0017,BDMS Wellness Center,Thailand
H0018,BIDC at Emquartier,Thailand
H0019,BIDC at Siam Paragon,Thailand
H0020,BNH Hospital,Thailand
H0021,Body Balance Clinic,Thailand
H0022,Bumrungrad International Hospital,Thailand
H0023,Camillian Hospital,Thailand
H0024,CGH Phaholyothin,Thailand
H0025,CGH Saimai Hospital ,Thailand
H0026,Chaophya Hospital,Thailand
H0027,Chulabhorn Hospital ,Thailand
H0028,Chularat 7 Clinic,Thailand
H0029,Chularat 8 Clinic,Thailand
H0030,Dental Hospital,Thailand
H0031,Doctor Anywhere,Thailand
H0032,Eknapa Whaleness Land,Thailand
H0033,EYE EAR NOSE THROAT HOSPITAL,Thailand
H0034,Fixme Medical and Physiotherapy Clinic ,Thailand
H0035,Form Physio and Rehab,Thailand
H0036,Good Doctor Clinic,Thailand
H0037,Hua Chiew Hospital,Thailand
H0038,Intrarat Hospital,Thailand
H0039,"Intouch Medicare Clinic, Din Deang Branch",Thailand
H0040,"Intouch Medicare Clinic, Taling Chan Branch",Thailand
H0041,"Intouch Medicare Clinic, Charoen Kung Branch",Thailand
H0042,"Intouch Medicare Clinic, Klong San Branch",Thailand
H0043,IntouchMedicare Clinic Latphrao-HuaiKhwang,Thailand
H0044,"IntouchMedicare Clinic, Udomsuk Branch",Thailand
H0045,"Intouch Medicare Clinic, Ramintra KM2 Branch",Thailand
H0046,Just for Kids Childrens Clinic,Thailand
H0047,Kasemrad Bangkae Hospital,Thailand
H0048,Kasemrad Prachachuen Hospital,Thailand
H0049,Kasemrad Ramkhamhaeng Hospital,Thailand
H0050,KDMS Hospital,Thailand
H0051,Kluaynamthai Hospital,Thailand
H0052,Ladprao General Hospital,Thailand
H0053,MedConsult Clinic,Thailand
H0054,Medpark Hospital,Thailand
H0055,Miskawaan Health Clinic,Thailand
H0056,Mission Hospital,Thailand
H0057,Mongkutwattana Hospital,Thailand
H0058,Motion care clinic,Thailand
H0059,Nakornthon Hospital,Thailand
H0060,Navamin  Hopsital,Thailand
H0061,Navamin 9  Hopsital,Thailand
H0062,Navavej Hospital,Thailand
H0063,"	Nan Ah Hospital",Thailand
H0064,Pain Away Clinic,Thailand
H0065,Paolo Chockchai 4 Hospital,Thailand
H0066,Paolo Kaset Hospital,Thailand
H0067,Paolo Memorial Phaholyothin Hospital,Thailand
H0068,Petcharavej Hospital,Thailand
H0069,Phyathai 1 Hospital,Thailand
H0070,Phyathai 2 Hospital,Thailand
H0071,Phyathai 3 Hospital,Thailand
H0072,Phyathai Nawamin Hospital,Thailand
H0073,Piyavate Hospital,Thailand
H0074,Police General Hospital.,Thailand
H0075,Praram 9 Hospital,Thailand
H0076,Prima Lounge Clinic,Thailand
H0077,PrimoCare Medical Clinic (Empire Tower),Thailand
